date,pnl_sum,pnl_mean,volume_sum,sentiment,sentiment_simple
28-03-2023,0,0,477,Greed,Greed
14-11-2023,155.503357,0.14880704,11555429.76,Greed,Greed
09-03-2024,176965.4918,25.41877216,39406770.25,Extreme Greed,Greed
03-07-2024,182374.0412,55.48343205,18562926.91,Neutral,Neutral
27-10-2024,1700610.494,162.7534208,56860186.33,Greed,Greed
19-02-2025,4905408.456,82.38015074,423114615,Fear,Fear
15-06-2025,619975.7662,52.12946828,266919389.9,,Neutral
